,date,account_value
67,2019-04-09,1056067.5573195145
68,2019-04-10,1054765.9288565193
69,2019-04-11,1046808.491976949
70,2019-04-12,1042580.6729021133
71,2019-04-15,1047728.945054522
72,2019-04-16,1042339.2625317703
73,2019-04-17,1043149.9618796278
74,2019-04-18,1042105.4653269538
75,2019-04-22,1041984.7806760063
76,2019-04-23,1043072.8928588283
77,2019-04-24,1042591.5771137547
78,2019-04-25,1043683.0485656257
79,2019-04-26,1043325.2267723723
80,2019-04-29,1043326.597881381
81,2019-04-30,1043327.2552452727
82,2019-05-01,1042074.4298129566
83,2019-05-02,1041154.9035186284
84,2019-05-03,1044397.1850399331
85,2019-05-06,1044942.9492720342
86,2019-05-07,1035697.5320551984
87,2019-05-08,1034260.6377517949
88,2019-05-09,1031225.5456780388
89,2019-05-10,1036986.760284387
90,2019-05-13,1019966.1082703366
91,2019-05-14,1022502.4079142247
92,2019-05-15,1026573.0811776501
93,2019-05-16,1036323.0641167172
94,2019-05-17,1036122.5750870468
95,2019-05-20,1038601.3951797892
96,2019-05-21,1047890.2905594462
97,2019-05-22,1044022.1373746148
98,2019-05-23,1031363.3149843992
99,2019-05-24,1034192.5883529241
100,2019-05-28,1019392.897885767
101,2019-05-29,1014743.377891278
102,2019-05-30,1018324.5856646923
103,2019-05-31,1004858.5296932018
104,2019-06-03,996591.0682560935
105,2019-06-04,1019825.0551544412
106,2019-06-05,1025935.9095920506
107,2019-06-06,1031196.6687157828
108,2019-06-07,1045949.0947036246
109,2019-06-10,1052491.3792901991
110,2019-06-11,1049424.6231333027
111,2019-06-12,1042470.06225915
112,2019-06-13,1048585.191774895
113,2019-06-14,1050928.9419662259
114,2019-06-17,1053218.0064955128
115,2019-06-18,1062635.1824887174
116,2019-06-19,1069422.2243679096
117,2019-06-20,1073470.0994261075
118,2019-06-21,1081871.3339798695
119,2019-06-24,1076315.7245274333
120,2019-06-25,1064180.263295451
121,2019-06-26,1059042.622846483
122,2019-06-27,1063802.8196200905
123,2019-06-28,1063759.047584864
124,2019-07-01,1067181.9108332228
125,2019-07-02,1068713.6330965578
126,2019-07-03,1076224.3272974
127,2019-07-05,1078247.801239559
128,2019-07-08,1080119.4006525455
129,2019-07-09,1076357.8226058204
130,2019-07-10,1083381.0300696979
131,2019-07-11,1107936.0977431794
132,2019-07-12,1118859.6175398561
133,2019-07-15,1117812.9951514597
134,2019-07-16,1108217.4978564815
135,2019-07-17,1106828.0673776804
136,2019-07-18,1094452.896005965
137,2019-07-19,1087124.9854359494
138,2019-07-22,1088357.269297643
139,2019-07-23,1091752.0303612854
140,2019-07-24,1088455.639644682
141,2019-07-25,1083189.6016356978
142,2019-07-26,1092271.6648028896
143,2019-07-29,1096062.537241177
144,2019-07-30,1096263.791831327
145,2019-07-31,1074254.6594702615
146,2019-08-01,1067384.0672455186
147,2019-08-02,1061946.8623251982
148,2019-08-05,1035146.149614376
149,2019-08-06,1051106.1399687196
150,2019-08-07,1044126.6486485337
151,2019-08-08,1061694.1971344699
152,2019-08-09,1055027.3760911266
153,2019-08-12,1039457.2103975161
154,2019-08-13,1059783.2827567537
155,2019-08-14,1027950.2443870011
156,2019-08-15,1026931.1523525058
157,2019-08-16,1039354.9352952063
158,2019-08-19,1047055.8250269576
159,2019-08-20,1035280.4622084964
160,2019-08-21,1043124.4539966673
161,2019-08-22,1029220.8134602279
162,2019-08-23,1004890.6004442247
163,2019-08-26,1013341.8795662894
164,2019-08-27,998086.9993877995
165,2019-08-28,1008630.3561035012
166,2019-08-29,1023983.6311623555
167,2019-08-30,1028389.4479559318
168,2019-09-03,1019807.2155418725
169,2019-09-04,1021704.6430153684
170,2019-09-05,1037063.7230984502
171,2019-09-06,1037636.6054115067
172,2019-09-09,1039614.7137972082
173,2019-09-10,1040019.6036322011
174,2019-09-11,1042437.7401641905
175,2019-09-12,1039993.6547741336
176,2019-09-13,1049293.699608764
177,2019-09-16,1052679.7775815597
178,2019-09-17,1049676.3932393887
179,2019-09-18,1047761.4836144485
180,2019-09-19,1053009.3081653495
181,2019-09-20,1047690.9240356148
182,2019-09-23,1041759.3990664193
183,2019-09-24,1027814.1679220755
184,2019-09-25,1031321.859837051
185,2019-09-26,1020487.8043142965
186,2019-09-27,1018938.9026964275
187,2019-09-30,1021840.1064753514
188,2019-10-01,1008351.4982429183
189,2019-10-02,993536.0771754545
190,2019-10-03,999071.4837081975
191,2019-10-04,1014787.2449069144
192,2019-10-07,1010598.624092488
193,2019-10-08,998135.9425882661
194,2019-10-09,1010199.5060216403
195,2019-10-10,1018546.2479532368
196,2019-10-11,1021883.5676462059
197,2019-10-14,1021251.5734998002
198,2019-10-15,1051786.161863428
199,2019-10-16,1041931.3254237205
200,2019-10-17,1049742.5273036377
201,2019-10-18,1045628.9003121697
202,2019-10-21,1051214.3255242654
203,2019-10-22,1056477.4029728172
204,2019-10-23,1056194.5226144353
205,2019-10-24,1052778.8157855899
206,2019-10-25,1055574.3218068015
207,2019-10-28,1062237.970410865
208,2019-10-29,1064334.1036502102
209,2019-10-30,1068417.2841222545
210,2019-10-31,1061766.3927091511
211,2019-11-01,1071993.813440169
212,2019-11-04,1083530.968212529
213,2019-11-05,1089270.4581204131
214,2019-11-06,1080240.2947767724
215,2019-11-07,1097479.6105347134
216,2019-11-08,1093987.6144208412
217,2019-11-11,1088211.1675607471
218,2019-11-12,1086090.8576845264
219,2019-11-13,1082521.9985731957
220,2019-11-14,1085490.1049386857
221,2019-11-15,1111840.9858960644
222,2019-11-18,1113992.9177332115
223,2019-11-19,1111217.183212976
