,date,open,high,low,close,volume,tic,macd,rsi_30,cci_30,dx_30,daily_return
135,2010-11-22,8.74,8.76,8.3,8.32,10669858,AKBNK,-0.04385749278781326,46.37396438137673,-122.39126746224913,6.301508903956439,-0.02232667450058745
136,2010-11-23,8.22,8.47,8.2,8.37,9655493,AKBNK,-0.07010741671987297,47.1626637807017,-147.06371651971543,11.46471642546221,0.006009615384615197
137,2010-11-24,8.43,8.45,8.14,8.37,10174797,AKBNK,-0.08987464248595955,47.1626637807017,-147.9302714663515,14.486992349770441,0.0
138,2010-11-25,8.41,8.41,8.2,8.24,8916840,AKBNK,-0.11470771772871835,45.30855220933237,-151.02716334787112,14.486992349770425,-0.015531660692950866
139,2010-11-26,8.18,8.18,8.01,8.08,10696679,AKBNK,-0.14561989603401138,43.14878948455706,-182.3301741676194,23.888504790299223,-0.01941747572815533
140,2010-11-29,8.12,8.16,7.74,7.77,14979134,AKBNK,-0.19290824241066495,39.385819843416755,-196.0337309931173,34.78070257056769,-0.0383663366336634
141,2010-11-30,7.79,8.22,7.79,8.22,14303726,AKBNK,-0.1918622802012635,46.40462932215496,-142.90467476293554,30.34945843066435,0.05791505791505802
142,2010-12-01,8.2,8.24,8.08,8.12,15366761,AKBNK,-0.19683340900316892,45.201390714320624,-118.89506769825971,28.840103188312483,-0.012165450121654708
143,2010-12-02,8.14,8.3,8.05,8.24,14427153,AKBNK,-0.18891253346150982,46.910247450010736,-100.47406362639138,24.22710226052573,0.014778325123152802
144,2010-12-03,8.22,8.34,8.16,8.24,8025518,AKBNK,-0.18055386633485782,46.91024745001073,-84.55968231721624,21.13624449492032,0.0
145,2010-12-06,8.26,8.32,8.18,8.28,4198369,AKBNK,-0.16875661195928338,47.494321154720524,-76.06417363709446,21.136244494920337,0.004854368932038833
146,2010-12-07,8.32,8.49,8.28,8.45,12171955,AKBNK,-0.14402949457602787,49.916806474452464,-46.12833626338569,8.077155187690765,0.020531400966183666
147,2010-12-08,8.37,8.63,8.36,8.57,19666832,AKBNK,-0.11344248591318262,51.54915108018405,-22.593969434118225,1.2906901543304052,0.014201183431952868
148,2010-12-09,8.61,8.61,8.08,8.16,13514261,AKBNK,-0.12089174925389479,46.22420567823053,-62.42086604203632,14.5449994461575,-0.04784130688448074
